Key,Meaning,Type and Value,Example,Platforms
cudadec-memtype,"Type of CUDA memory element used to allocate for output buffers for source of type 2,3 or 4. Not applicable for CSI or USB camera source

0 (memtype_device): Device memory allocated with cudaMalloc().

1 (memtype_pinned): host/pinned memory allocated with cudaMallocHost().

2 (memtype_unified): Unified memory allocated with cudaMallocManaged().

","Integer,
0, 1, or 2",cudadec-memtype=1,dGPU
nvbuf-memory-type,"Type of CUDA memory the element is to allocate for output buffers of nvvideoconvert, useful for source of type 1.

0 (nvbuf-mem-default, a platform-specific default

1 (nvbuf-mem-cuda-pinned): pinned/host CUDA memory.

2 (nvbuf-mem-cuda-device): Device CUDA memory.

3 (nvbuf-mem-cuda-unified): Unified CUDA memory.
 
For dGPU: All values are valid.

For Jetson: Only 0 (zero) is valid.","Integer,
0, 1, 2, or 3",nvbuf-memory-type=3,"dGPU,Jetson"
select-rtp-protocol,"Transport Protocol to use for RTP. Valid when type (type of source) is 4.
 | 0: UDP + UDP Multicast + TCP
 | 4: TCP only
","Integer,
0 or 4",select-rtp-protocol=4,"dGPU, Jetson"
rtsp-reconnect-interval-sec,Timeout in seconds to wait since last data was received from an RTSP source before forcing a reconnection. Setting it to 0 will disable the reconnection. Valid when type (type of source) is 4.,"Integer, ≥0",rtsp-reconnect-interval-sec=60,"dGPU, Jetson"
rtsp-reconnect-attempts,Maximum number of times a reconnection is attempted. Setting it to -1 means reconnection will be attempted infinitely. Valid when type of source is 4 and rtsp-reconnect-interval-sec is a non-zero positive value.,"Integer, ≥-1",rtsp-reconnect-attempts=2,
smart-record,"Ways to trigger the smart record.

0: Disable

1: Only through cloud messages

2: Cloud message + Local events
","Integer,
0, 1 or 2",smart-record=1,"dGPU, Jetson"
smart-rec-dir-path,"Path of directory to save the recorded file. By default, the current directory is used.
",String,smart-rec-dir-path=/home/nvidia/,"dGPU, Jetson"
smart-rec-file-prefix,"Prefix of file name for recorded video. By default, Smart_Record is the prefix. For unique file names every source must be provided with a unique prefix.

",String,smart-rec-file-prefix=Cam1,"dGPU, Jetson"
smart-rec-cache,Size of smart record cache in seconds.,"Integer, ≥0 ",smart-rec-cache=20,"dGPU, Jetson"
smart-rec-container,Container format of recorded video. MP4 and MKV containers are supported.,"Integer,
0 or 1",smart-rec-container=0,"dGPU, Jetson"
smart-rec-start-time,"Number of seconds earlier from now to start the recording.
E.g. if t0 is the current time and N is the start time in seconds that means recording will start from t0 – N. Obviously for it to work the video cache size must be greater than the N."," Integer, ≥0",smart-rec-start-time=5,"dGPU, Jetson"
smart-rec-default-duration,In case a Stop event is not generated. This parameter will ensure the recording is stopped after a predefined default duration.,"Integer, ≥0 ",smart-rec-default-duration=20,"dGPU, Jetson"
smart-rec-duration,Duration of recording in seconds.,"Integer, ≥0 ",smart-rec-duration=15,"dGPU, Jetson"
smart-rec-interval,This is the time interval in seconds for SR start / stop events generation.,"Integer, ≥0 ",smart-rec-interval=10,"dGPU, Jetson"
udp-buffer-size,UDP buffer size in bytes for RTSP sources.,"Integer, ≥0 ",udp-buffer-size=2000000,"dGPU, Jetson"
video-format, "Output video format for the source. This value is set as the output format of the nvvideoconvert element for the source.","String: NV12, I420, P010_10LE, BGRx, RGBA",video-format=RGBA,"dGPU, Jetson"
