Property,Meaning,Type and Range,"Example
Notes","| Network Types
| / Applicable to GIEs 
| (Primary/­Secondary)",,
input-object-max-width,Secondary GIE infers only on objects with this maximum width,"Integer, ≥0","input-object-max-width=256

0 disables the threshold","All

Secondary",,
input-object-max-height,Secondary GIE infers only on objects with this maximum height,"Integer, ≥0",input-object-max-height=256,"All

Both",,
network-mode,Data format to be used by inference,"Integer
0: FP32
1: INT8
2: FP16
3: BEST",network-mode=0,"All

Both",,
offsets,Array of mean values of color components to be subtracted from each pixel. Array length must equal the number of color components in the frame. The plugin multiplies mean values by net-scale-factor.(ignored if input-tensor-meta enabled),"Semicolon delimited float array, all values ≥0",offsets=77.5 21.2,"All

Both",,
parse-bbox-func-name,"Name of the custom bounding box parsing function. If not specified, Gst-nvinfer uses the internal function for the resnet model provided by the SDK",String,"parse-bbox-func-name=

parse_bbox_resnet","Detector

Both",,
parse-bbox-instance-mask-func-name,Name of the custom instance segmentation parsing function. It is mandatory for instance segmentation network as there is no internal function.,String,"parse-bbox-instance-mask-func-name=

NvDsInferParseCustomMrcnnTLT","Instance Segmentation

Primary",,
parse-segmentation-func-name,"Name of the custom segmentation output parsing function. If not specified, Gst-nvinfer uses the internal function that supports segmentation models.",String,"parse-segmentation-func-name=

NvDsInferParseCustomPeopleSemSegNet","Segmentation

Both",,
custom-lib-path,Absolute pathname of a library containing custom method implementations for custom models,String,"custom-lib-path=

/home/­ubuntu/­libresnet_custom_impl.so","All

Both",,
model-color-format,Color format required by the model (ignored if input-tensor-meta enabled),"Integer
0: RGB
1: BGR
2: GRAY",model-color-format=0,"All

Both",,
classifier-async-mode,Enables inference on detected objects and asynchronous metadata attachments. Works only when tracker-ids are attached. Pushes buffer downstream without waiting for inference results. Attaches metadata after the inference results are available to next Gst Buffer in its internal queue.,Boolean,classifier-async-mode=1,"Classifier

Secondary",,
process-mode,Mode (primary or secondary) in which the element is to operate on (ignored if input-tensor-meta enabled),"Integer
1=Primary
2=Secondary",gie-mode=1,"All

Both",,
classifier-threshold,Minimum threshold label probability. The GIE outputs the label having the highest probability if it is greater than this threshold,"Float, ≥0",classifier-threshold=0.4,"Classifier

Both",,
secondary-reinfer-interval,"Re-inference interval for objects, in frames","Integer, ≥0",secondary-reinfer-interval=15,"Detector & Classifier

Secondary",,
output-tensor-meta,Gst-nvinfer attaches raw tensor output as Gst Buffer metadata.,Boolean,output-tensor-meta=1,"All

Both",,
output-instance-mask,Gst-nvinfer attaches instance mask output in object metadata.,Boolean,output-instance-mask=1,"Instance Segmentation

Primary",,
enable-dla,"Indicates whether to use the DLA engine for inferencing.
Note: DLA is supported only on NVIDIA® Jetson AGX Orin™ and NVIDIA® Jetson Orin NX™. Currently work in progress.",Boolean,enable-dla=1,"All

Both",,
use-dla-core,"DLA core to be used.
Note: Supported only on Jetson AGX Orin and Jetson Orin NX. Currently work in progress.","Integer, ≥0",use-dla-core=0,"All

Both",,
network-type,Type of network,"Integer

0: Detector

1: Classifier

2: Segmentation

3: Instance Segmentation",network-type=1,"All

Both",,
maintain-aspect-ratio,Indicates whether to maintain aspect ratio while scaling input.,Boolean,maintain-aspect-ratio=1,"All

Both",,
symmetric-padding,Indicates whether to pad image symmetrically while scaling input. DeepStream pads the images asymmetrically by default.,Boolean,symmetric-padding=1,"All

Both",,
parse-classifier-func-name,"Name of the custom classifier output parsing function. If not specified, Gst-nvinfer uses the internal parsing function for softmax layers.",String,"parse-classifier-func-name=­

parse_bbox_softmax","Classifier

Both",,
custom-network-config,Pathname of the configuration file for custom networks available in the custom interface for creating CUDA engines.,String,"custom-network-config=

/home/­ubuntu/­network.config","All

Both",,
tlt-encoded-model,Pathname of the TAO toolkit encoded model.,String,"tlt-encoded-model=­

/home/­ubuntu/­model.etlt","All

Both",,
tlt-model-key,Key for the TAO toolkit encoded model.,String,tlt-model-key=abc,"All

Both",,
segmentation-threshold,"Confidence threshold for the segmentation model to output a valid class for a pixel. If confidence is less than this threshold, class output for that pixel is −1.","Float, ≥0.0",segmentation-threshold=0.3,"Segmentation, Instance segmentation

Both",,
segmentation-output-order,Segmentation network output layer order,"Integer
0: NCHW
1: NHWC",segmentation-output-order=1,"Segmentation

Both",,
workspace-size,"Workspace size to be used by the engine, in MB","Integer, >0",workspace-size=45,"All

Both",,
force-implicit-batch-dim,"When a network supports both implicit batch dimension and full dimension, force the implicit batch dimension mode.",Boolean,force-implicit-batch-dim=1,"All

Both",,
engine-create-func-name,Name of the custom TensorRT CudaEngine creation function. Refer to the “Custom Model Implementation Interface” section for details,String,"engine-create-func-name=

NvDsInferYoloCudaEngineGet","All

Both",,
cluster-mode,Clustering algorithm to use. Refer to the next table for configuring the algorithm specific parameters. Refer :ref:`cluster-mode-info` for more information,"Integer
0: OpenCV groupRectangles()
1: DBSCAN
2: Non Maximum Suppression
3: DBSCAN + NMS Hybrid
4: No clustering","cluster-mode=2

cluster-mode=4 for instance segmentation","Detector

Both
",,
filter-out-class-ids,Filter out detected objects belonging to specified class-ids,Semicolon delimited integer array,filter-out-class-ids=1,2,,
scaling-filter,The filter to use for scaling frames / object crops to network resolution (ignored if input-tensor-meta enabled),"Integer, refer to enum NvBufSurfTransform_Inter in nvbufsurftransform.h for valid values",scaling-filter=1,"All

Both",,
scaling-compute-hw,Compute hardware to use for scaling frames / object crops to network resolution (ignored if input-tensor-meta enabled),"Integer
0: Platform default – GPU (dGPU), VIC (Jetson)
1: GPU
2: VIC (Jetson only)",scaling-compute-hw=2,"All

Both",,
output-io-formats,"Specifies the data type and order for bound output layers. For layers not specified, defaults to FP32 and CHW","Semi-colon separated list of format.
<output-layer1-name>:<data-type>:<order>;<output-layer2-name>:<data-type>:<order>

data-type should be one of
[fp32, fp16, int32, int8]

order should be one of [chw, chw2, chw4, hwc8, chw16, chw32]","output-io-formats=

output_cov/Sigmoid:0:fp32:chw;output_bbox/BiasAdd:0:fp32:chw","All

Both",,
Layer-device-precision,Specifies the device type and precision for any layer in the network,"Semi-colon separated list of format.
<layer1-name>:<precision>:<device-type>;<layer2-name>:<precision>:<device-type>;

precision should be one of
[fp32, fp16, int8]

Device-type should be one of [gpu, dla]","layer-device-precision=

output_cov/Sigmoid:0:fp32:gpu;output_bbox/BiasAdd:0:fp32:gpu;","All

Both",,
network-input-order,Order of the network input layer (ignored if input-tensor-meta enabled),"Integer
0:NCHW
1:NHWC",network-input-order=1,"All

Both",,
classifier-type,Description of what the classifier does,"String (alphanumeric, '-' and '_' allowed, no spaces)",classifier-type=vehicletype,"Classifier

Both",,
crop-objects-to-roi-boundary,Clip the object bounding boxes to fit within the specified ROI boundary.,Boolean,crop-objects-to-roi-boundary=1,"Detector 

Both",,
